TDI Format 1.5	Temperature	Resistance
 	2.661E+2	4.91697E+0	1.898943E+2
 	2.659E+2	4.91761E+0	1.909568E+2
 	2.657E+2	4.91893E+0	1.920193E+2
 	2.654E+2	4.91991E+0	1.930818E+2
 	2.652E+2	4.92073E+0	1.941444E+2
 	2.651E+2	4.92197E+0	1.952225E+2
 	2.648E+2	4.92281E+0	1.96285E+2
 	2.646E+2	4.92403E+0	1.973475E+2
 	2.645E+2	4.92495E+0	1.984257E+2
 	2.642E+2	4.92643E+0	1.995038E+2
 	2.641E+2	4.92698E+0	2.005664E+2
 	2.639E+2	4.92837E+0	2.016289E+2
 	2.637E+2	4.92912E+0	2.026914E+2
 	2.635E+2	4.93025E+0	2.037539E+2
 	2.633E+2	4.931E+0	2.048164E+2
 	2.631E+2	4.93221E+0	2.05879E+2
 	2.629E+2	4.93292E+0	2.069415E+2
 	2.627E+2	4.93353E+0	2.080196E+2
 	2.625E+2	4.93479E+0	2.090821E+2
 	2.623E+2	4.93583E+0	2.101759E+2
 	2.621E+2	4.93638E+0	2.112384E+2
 	2.619E+2	4.93791E+0	2.123166E+2
 	2.617E+2	4.93887E+0	2.134103E+2
 	2.615E+2	4.93988E+0	2.144729E+2
 	2.614E+2	4.94053E+0	2.15551E+2
 	2.612E+2	4.94205E+0	2.166135E+2
 	2.61E+2	4.94263E+0	2.176761E+2
 	2.608E+2	4.94325E+0	2.187386E+2
 	2.606E+2	4.94422E+0	2.198011E+2
 	2.604E+2	4.94553E+0	2.208636E+2
 	2.603E+2	4.94577E+0	2.219261E+2
 	2.601E+2	4.94689E+0	2.230043E+2
 	2.599E+2	4.94773E+0	2.240668E+2
 	2.597E+2	4.94872E+0	2.251293E+2
 	2.595E+2	4.94913E+0	2.261918E+2
 	2.593E+2	4.95054E+0	2.2727E+2
 	2.592E+2	4.95107E+0	2.283325E+2
 	2.59E+2	4.95189E+0	2.29395E+2
 	2.588E+2	4.95291E+0	2.304576E+2
 	2.586E+2	4.95401E+0	2.315201E+2
 	2.584E+2	4.95456E+0	2.325826E+2
 	2.583E+2	4.95582E+0	2.336451E+2
 	2.581E+2	4.95662E+0	2.347233E+2
 	2.579E+2	4.95809E+0	2.358014E+2
 	2.577E+2	4.95862E+0	2.368639E+2
 	2.575E+2	4.95951E+0	2.379264E+2
 	2.574E+2	4.96084E+0	2.38989E+2
 	2.572E+2	4.96159E+0	2.400515E+2
 	2.57E+2	4.96253E+0	2.41114E+2
 	2.569E+2	4.96317E+0	2.421765E+2
 	2.567E+2	4.96387E+0	2.432547E+2
 	2.565E+2	4.96486E+0	2.443172E+2
 	2.563E+2	4.9657E+0	2.453797E+2
 	2.562E+2	4.96694E+0	2.464422E+2
 	2.56E+2	4.96772E+0	2.475048E+2
 	2.558E+2	4.96875E+0	2.485673E+2
 	2.557E+2	4.96948E+0	2.496454E+2
 	2.555E+2	4.9703E+0	2.507079E+2
 	2.553E+2	4.97109E+0	2.517705E+2
 	2.552E+2	4.97214E+0	2.52833E+2
 	2.55E+2	4.97271E+0	2.539111E+2
 	2.549E+2	4.97422E+0	2.549736E+2
 	2.547E+2	4.9746E+0	2.560362E+2
 	2.545E+2	4.97544E+0	2.570987E+2
 	2.543E+2	4.97638E+0	2.581612E+2
 	2.542E+2	4.97727E+0	2.592237E+2
 	2.54E+2	4.97794E+0	2.603019E+2
 	2.539E+2	4.97857E+0	2.613644E+2
 	2.537E+2	4.97966E+0	2.624269E+2
 	2.535E+2	4.98E+0	2.635051E+2
 	2.534E+2	4.98137E+0	2.645676E+2
 	2.532E+2	4.98211E+0	2.656301E+2
 	2.531E+2	4.98297E+0	2.666926E+2
 	2.529E+2	4.98387E+0	2.677551E+2
 	2.528E+2	4.98446E+0	2.688177E+2
 	2.526E+2	4.98536E+0	2.698958E+2
 	2.524E+2	4.98656E+0	2.709583E+2
 	2.523E+2	4.98706E+0	2.720208E+2
 	2.521E+2	4.98765E+0	2.730834E+2
 	2.52E+2	4.98818E+0	2.741459E+2
 	2.518E+2	4.9893E+0	2.752084E+2
 	2.516E+2	4.99E+0	2.762866E+2
 	2.515E+2	4.99033E+0	2.773491E+2
 	2.513E+2	4.99202E+0	2.784116E+2
 	2.512E+2	4.99213E+0	2.794741E+2
 	2.51E+2	4.9929E+0	2.805366E+2
 	2.509E+2	4.99355E+0	2.815992E+2
 	2.508E+2	4.99427E+0	2.826617E+2
 	2.506E+2	4.99487E+0	2.837242E+2
 	2.504E+2	4.99625E+0	2.847867E+2
 	2.503E+2	4.9965E+0	2.858492E+2
 	2.502E+2	4.99794E+0	2.869118E+2
 	2.5E+2	4.99813E+0	2.879899E+2
 	2.499E+2	4.99869E+0	2.890524E+2
 	2.497E+2	4.99995E+0	2.901149E+2
 	2.496E+2	5.00053E+0	2.911931E+2
 	2.494E+2	5.00175E+0	2.922556E+2
 	2.493E+2	5.00215E+0	2.933181E+2
 	2.491E+2	5.00252E+0	2.943807E+2
