TDI Format 1.5	x	y	e
	0.0462858	12400000.0	3526.2
	0.0469979	14500000.0	3809.8
	0.0477099	18200000.0	4270.3
	0.048422	23600000.0	4862.26
	0.0491341	29400000.0	5420.81
	0.0498462	32800000.0	5730.92
	0.0505583	32400000.0	5696.18
	0.0512703	28200000.0	5309.88
	0.0519824	21500000.0	4635.85
	0.0526945	14500000.0	3811.39
	0.0534066	9450000.0	3073.87
	0.0541186	7110000.0	2666.88
	0.0548307	6680000.0	2584.46
	0.0555428	6890000.0	2624.73
	0.0562549	6960000.0	2637.6
	0.056967	7120000.0	2668.26
	0.057679	7350000.0	2711.56
	0.0583911	7940000.0	2818.32
	0.0591032	8280000.0	2877.11
	0.0598153	8660000.0	2943.41
	0.0605273	8710000.0	2951.8
	0.0612394	8640000.0	2938.93
	0.0619515	8870000.0	2978.46
	0.0626635	9370000.0	3061.85
	0.0633756	10300000.0	3210.23
	0.0640877	11600000.0	3411.66
	0.0647998	14200000.0	3767.31
	0.0655118	17700000.0	4202.56
	0.0662239	23500000.0	4843.0
	0.066936	29700000.0	5451.8
	0.067648	31900000.0	5649.91
	0.0683601	28400000.0	5325.83
	0.0690722	21600000.0	4643.45
	0.0697842	15300000.0	3915.66
	0.0704963	10400000.0	3221.37
	0.0712084	7700000.0	2774.17
	0.0719204	6580000.0	2565.22
	0.0726325	6230000.0	2495.45
	0.0733446	6240000.0	2498.53
	0.0740566	6070000.0	2463.25
	0.0747687	6140000.0	2477.69
	0.0754807	6290000.0	2507.91
	0.0761928	6370000.0	2523.36
	0.0769049	6430000.0	2535.27
	0.0776169	6410000.0	2532.55
	0.078329	6280000.0	2505.04
	0.0790411	6060000.0	2460.98
	0.0797531	6110000.0	2471.91
	0.0804652	6310000.0	2512.02
	0.0811772	6610000.0	2571.27
	0.0818893	7080000.0	2661.48
	0.0826013	7920000.0	2814.65
	0.0833134	9270000.0	3043.86
	0.0840255	11100000.0	3338.44
	0.0847375	14100000.0	3755.38
	0.0854496	17000000.0	4123.32
	0.0861616	17400000.0	4173.73
	0.0868737	15500000.0	3940.62
	0.0875857	12800000.0	3582.09
	0.0882978	9870000.0	3141.95
	0.0890098	7060000.0	2657.64
	0.0897219	5340000.0	2310.29
	0.0904339	4140000.0	2035.72
	0.091146	3550000.0	1884.57
	0.091858	3230000.0	1797.49
	0.0925701	3050000.0	1747.52
	0.0932821	3040000.0	1743.19
	0.0939942	3040000.0	1742.94
	0.0947062	3000000.0	1731.88
	0.0954183	2880000.0	1697.19
	0.0961303	2760000.0	1660.5
	0.0968423	2610000.0	1616.12
	0.0975544	2490000.0	1577.18
	0.0982664	2440000.0	1563.3
	0.0989785	2480000.0	1575.09
	0.0996905	2510000.0	1585.78
	0.100403	2560000.0	1599.58
	0.101115	2690000.0	1640.39
	0.101827	2970000.0	1723.95
	0.102539	3290000.0	1815.06
	0.103251	3590000.0	1896.04
	0.103963	4040000.0	2009.44
	0.104675	4340000.0	2082.08
	0.105387	4470000.0	2113.11
	0.106099	4380000.0	2092.88
	0.106811	3930000.0	1981.43
	0.107523	3120000.0	1767.04
	0.108235	2430000.0	1558.67
	0.108947	1860000.0	1363.54
	0.109659	1420000.0	1190.23
	0.110371	1120000.0	1056.07
	0.111083	912583.0	955.292
	0.111795	802674.0	895.921
	0.112507	752987.0	867.748
	0.113219	699029.0	836.08
	0.113931	637804.0	798.626
	0.114643	578839.0	760.815
	0.115355	521081.0	721.859
	0.116067	468192.0	684.246
	0.116779	432182.0	657.406
	0.117491	414461.0	643.786
	0.118203	401722.0	633.815
	0.118915	388064.0	622.948
	0.119627	379108.0	615.718
	0.120339	381543.0	617.692
	0.121051	392219.0	626.274
	0.121763	395105.0	628.574
	0.122475	400115.0	632.546
	0.123187	442435.0	665.158
	0.123899	556552.0	746.024
	0.124611	701790.0	837.729
	0.125323	792329.0	890.129
	0.126035	769860.0	877.417
	0.126747	672088.0	819.81
	0.127459	556352.0	745.89
	0.128171	442883.0	665.495
	0.128883	335619.0	579.326
	0.129595	244424.0	494.393
	0.130307	175642.0	419.097
	0.131019	127604.0	357.217
	0.131731	94131.0	306.808
	0.132443	69253.0	263.16
	0.133155	50950.5	225.722
	0.133867	38708.5	196.745
	0.134579	31362.5	177.095
	0.135291	27597.0	166.123
	0.136003	25669.0	160.215
	0.136715	24717.0	157.216
	0.137427	23787.5	154.232
	0.138139	23099.0	151.984
	0.138851	23430.5	153.07
	0.139563	24760.0	157.353
	0.140275	28137.5	167.742
	0.140987	36732.0	191.656
	0.141699	54132.5	232.664
	0.142411	84824.5	291.246
	0.143123	124799.0	353.269
	0.143835	161368.0	401.706
	0.144547	183624.0	428.514
	0.145259	186846.0	432.257
	0.145971	180108.0	424.391
	0.146683	169356.0	411.529
	0.147395	155383.0	394.186
	0.148107	139686.0	373.746
	0.148819	122392.0	349.846
	0.149531	107016.0	327.133
	0.150243	93934.0	306.487
	0.150955	85640.5	292.644
	0.151667	80615.5	283.929
	0.152379	79106.0	281.258
	0.153091	79190.5	281.408
	0.153803	80923.5	284.471
	0.154515	83181.0	288.411
	0.155227	85479.0	292.368
	0.155939	87450.0	295.72
	0.156651	89334.0	298.888
	0.157363	91730.0	302.87
	0.158075	94860.0	307.993
	0.158787	96852.5	311.211
	0.159499	101469.0	318.542
	0.160211	106427.0	326.232
	0.160923	113670.0	337.15
	0.161634	121259.0	348.223
	0.162346	125785.0	354.662
	0.163058	129260.0	359.527
	0.16377	128550.0	358.539
	0.164482	126431.0	355.571
	0.165194	123390.0	351.269
	0.165906	120430.0	347.03
	0.166618	117149.0	342.27
	0.16733	114081.0	337.759
	0.168042	110437.0	332.321
	0.168754	107325.0	327.605
	0.169466	103950.0	322.413
	0.170178	100985.0	317.781
	0.17089	99427.5	315.321
	0.171602	98177.0	313.332
	0.172314	97398.5	312.087
	0.173026	97408.0	312.103
	0.173737	96229.5	310.209
	0.174449	95081.0	308.352
	0.175161	94312.5	307.103
	0.175873	94408.5	307.26
	0.176585	92892.0	304.782
	0.177297	91741.0	302.888
	0.178009	91160.5	301.928
	0.178721	90049.0	300.082
	0.179433	88735.5	297.885
	0.180145	87914.5	296.504
	0.180857	86115.0	293.454
	0.181569	84645.0	290.938
	0.182281	81038.5	284.673
	0.182992	79107.5	281.261
	0.183704	76251.0	276.136
	0.184416	73686.0	271.452
	0.185128	71441.0	267.284
	0.18584	69154.5	262.972
	0.186552	66701.5	258.266
	0.187264	65068.0	255.084
	0.187976	63183.0	251.362
	0.188688	61234.0	247.455
	0.1894	59640.5	244.214
	0.190112	57636.0	240.075
	0.190823	56513.0	237.725
	0.191535	55091.0	234.715
	0.192247	53241.0	230.74
	0.192959	52049.5	228.144
	0.193671	50490.5	224.701
	0.194383	48962.5	221.275
	0.195095	47483.5	217.907
	0.195807	46397.0	215.4
	0.196519	44712.5	211.453
	0.19723	43572.5	208.74
	0.197942	42336.5	205.758
	0.198654	40650.0	201.618
	0.199366	39686.5	199.215
	0.200078	37804.5	194.434
	0.20079	36747.0	191.695
	0.201502	34956.5	186.967
	0.202214	33819.5	183.901
	0.202925	33001.5	181.663
	0.203637	31801.0	178.328
	0.204349	30775.0	175.428
	0.205061	30278.0	174.006
	0.205773	29627.0	172.125
	0.206485	28400.5	168.525
	0.207197	27763.0	166.622
	0.207909	27135.0	164.727
	0.20862	26742.0	163.53
	0.209332	26341.0	162.299
	0.210044	25692.0	160.287
	0.210756	25402.5	159.382
	0.211468	24744.5	157.304
	0.21218	24582.0	156.786
	0.212892	24334.0	155.994
	0.213603	23469.0	153.196
	0.214315	23116.5	152.041
	0.215027	22905.0	151.344
	0.215739	22770.5	150.899
	0.216451	22527.0	150.09
	0.217163	22102.5	148.669
	0.217874	22145.0	148.812
	0.218586	21883.5	147.931
	0.219298	21937.0	148.111
	0.22001	21745.5	147.464
	0.220722	21460.0	146.492
	0.221434	21605.5	146.988
	0.222145	21502.5	146.637
	0.222857	21580.0	146.901
	0.223569	21408.5	146.316
	0.224281	21734.5	147.426
	0.224993	21724.5	147.392
	0.225705	21817.5	147.708
	0.226416	22178.5	148.924
	0.227128	21894.5	147.968
	0.22784	22172.0	148.903
	0.228552	22297.0	149.322
	0.229264	22283.5	149.277
	0.229975	22398.0	149.66
	0.230687	22284.0	149.278
	0.231399	22470.5	149.902
	0.232111	22552.0	150.173
	0.232823	23124.0	152.066
	0.233535	22971.5	151.564
	0.234246	23090.5	151.956
	0.234958	23287.0	152.601
	0.23567	23210.5	152.35
	0.236382	23216.0	152.368
	0.237093	23571.0	153.529
	0.237805	23288.5	152.606
	0.238517	23519.5	153.361
	0.239229	23647.0	153.776
	0.239941	23364.0	152.853
	0.240652	23555.0	153.476
	0.241364	23285.0	152.594
	0.242076	23711.0	153.984
	0.242788	23677.0	153.873
	0.2435	23295.0	152.627
	0.244211	23290.5	152.612
	0.244923	23202.0	152.322
	0.245635	23087.5	151.946
	0.246347	23077.0	151.911
	0.247058	23199.0	152.312
	0.24777	22997.5	151.649
	0.248482	22776.5	150.919
	0.249194	22391.5	149.638
	0.249905	22488.5	149.962
	0.250617	22432.5	149.775
	0.251329	22348.5	149.494
	0.252041	21866.0	147.872
	0.252752	22060.0	148.526
	0.253464	21661.5	147.178
	0.254176	21107.5	145.284
	0.254888	20854.0	144.409
	0.255599	20934.5	144.688
	0.256311	20558.5	143.382
	0.257023	20088.0	141.732
	0.257735	19767.5	140.597
	0.258446	19578.5	139.923
	0.259158	19023.0	137.924
	0.25987	18899.0	137.474
	0.260582	18667.0	136.627
	0.261293	18439.0	135.79
	0.262005	17868.0	133.671
	0.262717	17318.5	131.6
	0.263429	16907.5	130.029
	0.26414	16778.0	129.53
	0.264852	16341.0	127.832
	0.265564	15769.0	125.575
	0.266275	15430.5	124.22
	0.266987	14889.5	122.022
	0.267699	14686.5	121.188
	0.268411	14121.0	118.832
	0.269122	13753.5	117.275
	0.269834	13445.0	115.953
	0.270546	12871.5	113.453
	0.271257	12465.0	111.647
	0.271969	12017.5	109.624
	0.272681	11689.0	108.116
	0.273392	11289.5	106.252
	0.274104	10647.5	103.187
	0.274816	10355.5	101.762
	0.275527	9889.5	99.446
	0.276239	9474.5	97.337
	0.276951	9047.0	95.1157
	0.277663	8688.0	93.2094
	0.278374	8241.5	90.7827
	0.279086	7795.0	88.2893
	0.279798	7635.5	87.3813
	0.280509	6942.0	83.3187
	0.281221	6839.5	82.7013
	0.281933	6378.0	79.8624
	0.282644	6014.0	77.55
	0.283356	5653.5	75.1898
	0.284068	5221.0	72.2565
	0.284779	4907.5	70.0536
	0.285491	4666.5	68.3118
	0.286203	4300.0	65.5744
	0.286914	4115.0	64.1483
	0.287626	3788.0	61.5467
	0.288338	3509.5	59.241
	0.289049	3287.0	57.3324
	0.289761	2826.0	53.1601
	0.290472	2669.5	51.6672
	0.291184	2481.0	49.8096
	0.291896	2257.0	47.5079
	0.292607	2093.0	45.7493
	0.293319	1886.0	43.4281
	0.294031	1684.5	41.0427
	0.294742	1451.5	38.0986
	0.295454	1232.5	35.107
	0.296165	1157.0	34.0147
	0.296877	975.5	31.233
	0.297589	927.0	30.4467
	0.2983	791.5	28.1336
	0.299012	642.5	25.3476
	0.299724	558.0	23.622
	0.300435	485.0	22.0227
	0.301147	456.0	21.3542
	0.301858	332.5	18.2346
	0.30257	233.5	15.2807
	0.303282	264.5	16.2635
	0.303993	250.5	15.8272
	0.304705	230.5	15.1822
	0.305416	201.0	14.1775
	0.306128	220.5	14.8492
	0.30684	218.0	14.7648
	0.307551	215.0	14.6629
	0.308263	308.5	17.5642
	0.308974	329.5	18.1521
	0.309686	371.5	19.2743
	0.310398	456.5	21.3659
	0.311109	511.5	22.6164
	0.311821	554.5	23.5478
	0.312532	669.0	25.865
	0.313244	796.5	28.2223
	0.313955	888.0	29.7993
	0.314667	958.0	30.9516
	0.315378	1069.0	32.6956
	0.31609	1131.5	33.6378
	0.316802	1247.0	35.3129
	0.317513	1388.5	37.2626
	0.318225	1513.5	38.9037
	0.318936	1642.5	40.5278
	0.319648	1787.5	42.2788
	0.320359	1977.5	44.4691
	0.321071	1924.0	43.8634
	0.321782	2213.5	47.0479
	0.322494	2346.0	48.4355
	0.323206	2497.5	49.975
	0.323917	2573.5	50.7297
	0.324629	2745.5	52.3975
	0.32534	2947.0	54.2863
	0.326052	3024.5	54.9954
	0.326763	3222.5	56.7671
	0.327475	3314.5	57.5717
	0.328186	3438.5	58.6387
	0.328898	3693.0	60.7701
	0.329609	3710.5	60.9139
	0.330321	4052.0	63.6553
	0.331032	3962.0	62.9444
	0.331744	4276.0	65.3911
	0.332455	4324.0	65.7571
