TDI Format 1.5	Offset	Absorption::R	Absorption::Theta	Absorption::X	Absorption::Y	iterator	multi[0]:iterator	multi[0]:y	multi[1]:iterator	multi[1]:y	multi[1]:Gate Readback std	multi[1]:Gate Readback
 	0E+0	3.371767975E-7	3.576E+0	3.371767975E-7	0E+0	1.4881E+4	8E+0	6.75E+9	1.586E+3	2.104079184E-1	1.024057626E-2	3.333091939E+0
 	0E+0	6.743550093E-7	-2.7408E+1	6.322057883E-7	-3.371767975E-7	1.4882E+4	8E+0	6.75E+9	1.587E+3	2.107078584E-1	1.026594754E-2	3.333028054E+0
 	0E+0	6.322057883E-7	-2.7474E+1	5.479115889E-7	-3.371767975E-7	1.4883E+4	8E+0	6.75E+9	1.588E+3	2.110077984E-1	1.020917556E-2	3.333081562E+0
 	0E+0	2.950289907E-7	-6.8964E+1	8.429434081E-8	-3.371767975E-7	1.4884E+4	8E+0	6.75E+9	1.589E+3	2.113077385E-1	1.017246335E-2	3.333325754E+0
 	0E+0	2.107362056E-7	-1.73658E+2	-2.528825982E-7	-4.214709969E-8	1.4885E+4	8E+0	6.75E+9	1.59E+3	2.116076785E-1	1.034921996E-2	3.333365966E+0
 	0E+0	3.371767975E-7	1.72878E+2	-3.793246043E-7	4.214709969E-8	1.4886E+4	8E+0	6.75E+9	1.591E+3	2.119076185E-1	1.033910021E-2	3.33330208E+0
 	0E+0	4.214709969E-8	9E+1	0E+0	4.214709969E-8	1.4887E+4	8E+0	6.75E+9	1.592E+3	2.122075585E-1	1.031452445E-2	3.33327938E+0
 	0E+0	2.107362056E-7	-6.0948E+1	8.429434081E-8	-2.528825982E-7	1.4888E+4	8E+0	6.75E+9	1.593E+3	2.125074985E-1	1.020896778E-2	3.333292352E+0
 	0E+0	4.214709969E-7	-2.6562E+1	3.371767975E-7	-2.107362056E-7	1.4889E+4	8E+0	6.75E+9	1.594E+3	2.128074385E-1	1.03545683E-2	3.333355264E+0
 	0E+0	8.850883864E-7	-4.176E+1	6.322057883E-7	-5.900579815E-7	1.489E+4	8E+0	6.75E+9	1.595E+3	2.131073785E-1	1.033754531E-2	3.333319268E+0
 	0E+0	1.053676785E-6	-6.057E+1	5.057651963E-7	-9.272361932E-7	1.4891E+4	8E+0	6.75E+9	1.596E+3	2.134073185E-1	1.029283502E-2	3.333275488E+0
 	0E+0	8.007956013E-7	-7.6758E+1	1.685883988E-7	-8.429419939E-7	1.4892E+4	8E+0	6.75E+9	1.597E+3	2.137072585E-1	1.032823324E-2	3.333327699E+0
 	0E+0	5.057651963E-7	-6.3438E+1	2.107362056E-7	-5.057651963E-7	1.4893E+4	8E+0	6.75E+9	1.598E+3	2.140071986E-1	1.031986783E-2	3.333592646E+0
 	0E+0	4.214709969E-7	-5.5494E+1	2.528825982E-7	-3.793246043E-7	1.4894E+4	8E+0	6.75E+9	1.599E+3	2.143071386E-1	1.037580979E-2	3.333534273E+0
 	0E+0	2.950289907E-7	-2.8608E+1	2.528825982E-7	-1.685883988E-7	1.4895E+4	8E+0	6.75E+9	1.6E+3	2.146070786E-1	1.029937938E-2	3.333789815E+0
 	0E+0	2.528825982E-7	-4.1184E+1	1.685883988E-7	-1.685883988E-7	1.4896E+4	8E+0	6.75E+9	1.601E+3	2.149070186E-1	1.027437127E-2	3.333541083E+0
 	0E+0	4.214709969E-7	-6.21E+1	2.107362056E-7	-4.214709969E-7	1.4897E+4	8E+0	6.75E+9	1.602E+3	2.152069586E-1	1.03233299E-2	3.333665936E+0
 	0E+0	5.479115889E-7	-3.8292E+1	4.214709969E-7	-3.793246043E-7	1.4898E+4	8E+0	6.75E+9	1.603E+3	2.155068986E-1	1.032237321E-2	3.333600753E+0
 	0E+0	7.586477945E-7	-3.2736E+1	6.322057883E-7	-4.636173895E-7	1.4899E+4	8E+0	6.75E+9	1.604E+3	2.158068386E-1	1.025436292E-2	3.333680205E+0
 	0E+0	1.011528978E-6	-3.5538E+1	8.007956013E-7	-5.900579815E-7	1.49E+4	8E+0	6.75E+9	1.605E+3	2.161067786E-1	1.026337802E-2	3.333716525E+0
 	0E+0	9.272361932E-7	-4.5E+1	6.743550093E-7	-7.165014019E-7	1.4901E+4	8E+0	6.75E+9	1.606E+3	2.164067187E-1	1.028723195E-2	3.333808949E+0
 	0E+0	6.743550093E-7	-4.3602E+1	4.636173895E-7	-5.057651963E-7	1.4902E+4	8E+0	6.75E+9	1.607E+3	2.167066587E-1	1.041109274E-2	3.333761602E+0
 	0E+0	2.107362056E-7	-1.2528E+1	2.107362056E-7	-8.429434081E-8	1.4903E+4	8E+0	6.75E+9	1.608E+3	2.170065987E-1	1.025236539E-2	3.333957799E+0
 	0E+0	4.214709969E-7	4.7292E+1	2.528825982E-7	2.950289907E-7	1.4904E+4	8E+0	6.75E+9	1.609E+3	2.173065387E-1	1.040254782E-2	3.333875428E+0
 	0E+0	5.057651963E-7	2.5464E+1	4.636173895E-7	2.107362056E-7	1.4905E+4	8E+0	6.75E+9	1.61E+3	2.176064787E-1	1.027850869E-2	3.333918883E+0
 	0E+0	9.272361932E-7	-2.8494E+1	8.007956013E-7	-4.636173895E-7	1.4906E+4	8E+0	6.75E+9	1.611E+3	2.179064187E-1	1.015528884E-2	3.333884184E+0
 	0E+0	1.053676785E-6	-6.2304E+1	4.636173895E-7	-9.693825858E-7	1.4907E+4	8E+0	6.75E+9	1.612E+3	2.182063587E-1	1.0660963E-2	3.333755765E+0
 	0E+0	7.165014019E-7	-5.163E+1	4.214709969E-7	-5.900579815E-7	1.4908E+4	8E+0	6.75E+9	1.613E+3	2.185062987E-1	1.027991888E-2	3.333810894E+0
 	0E+0	4.636173895E-7	-4.0914E+1	3.371767975E-7	-3.371767975E-7	1.4909E+4	8E+0	6.75E+9	1.614E+3	2.188062388E-1	1.017319702E-2	3.334215286E+0
 	0E+0	6.743550093E-7	-9.3816E+1	-8.429434081E-8	-7.165014019E-7	1.491E+4	8E+0	6.75E+9	1.615E+3	2.191061788E-1	1.031152392E-2	3.333893264E+0
 	0E+0	7.165014019E-7	-9.9162E+1	-1.264411577E-7	-7.586477945E-7	1.4911E+4	8E+0	6.75E+9	1.616E+3	2.194061188E-1	1.027727294E-2	3.333772952E+0
 	0E+0	5.479115889E-7	-1.04622E+2	-1.685883988E-7	-5.479115889E-7	1.4912E+4	8E+0	6.75E+9	1.617E+3	2.197060588E-1	1.043974362E-2	3.333736631E+0
 	0E+0	6.322057883E-7	-7.02E+1	2.107362056E-7	-5.900579815E-7	1.4913E+4	8E+0	6.75E+9	1.618E+3	2.200059988E-1	1.023632781E-2	3.33383554E+0
 	0E+0	7.165014019E-7	-6.1824E+1	3.371767975E-7	-6.743550093E-7	1.4914E+4	8E+0	6.75E+9	1.619E+3	2.203059388E-1	1.03304985E-2	3.333915965E+0
 	0E+0	6.322057883E-7	-4.647E+1	4.214709969E-7	-5.057651963E-7	1.4915E+4	8E+0	6.75E+9	1.62E+3	2.206058788E-1	1.034240137E-2	3.333897805E+0
 	0E+0	6.743550093E-7	-6.075E+1	2.950289907E-7	-5.900579815E-7	1.4916E+4	8E+0	6.75E+9	1.621E+3	2.209058188E-1	1.035101526E-2	3.333868294E+0
 	0E+0	3.793246043E-7	-6.9444E+1	1.264411577E-7	-3.793246043E-7	1.4917E+4	8E+0	6.75E+9	1.622E+3	2.212057588E-1	1.042997866E-2	3.333696419E+0
 	0E+0	1.264411577E-7	5.631E+1	8.429434081E-8	1.264411577E-7	1.4918E+4	8E+0	6.75E+9	1.623E+3	2.215056989E-1	1.037766647E-2	3.333464551E+0
 	0E+0	3.371767975E-7	6.6798E+1	1.264411577E-7	2.950289907E-7	1.4919E+4	8E+0	6.75E+9	1.624E+3	2.218056389E-1	1.059512928E-2	3.333891319E+0
 	0E+0	3.371767975E-7	0E+0	3.371767975E-7	0E+0	1.492E+4	8E+0	6.75E+9	1.625E+3	2.221055789E-1	1.039271142E-2	3.33417475E+0
 	0E+0	4.636173895E-7	-2.3964E+1	4.214709969E-7	-2.107362056E-7	1.4921E+4	8E+0	6.75E+9	1.626E+3	2.224055189E-1	1.039505956E-2	3.333955528E+0
 	0E+0	1.053676785E-6	-4.8576E+1	6.743550093E-7	-8.429419939E-7	1.4922E+4	8E+0	6.75E+9	1.627E+3	2.227054589E-1	1.04435158E-2	3.334039196E+0
 	0E+0	5.900579815E-7	-2.4624E+1	5.479115889E-7	-2.950289907E-7	1.4923E+4	8E+0	6.75E+9	1.628E+3	2.230053989E-1	1.030680766E-2	3.334207179E+0
 	0E+0	5.057651963E-7	0E+0	5.057651963E-7	0E+0	1.4924E+4	8E+0	6.75E+9	1.629E+3	2.233053389E-1	1.024859585E-2	3.334395593E+0
 	0E+0	4.214709969E-7	5.5494E+1	2.528825982E-7	3.371767975E-7	1.4925E+4	8E+0	6.75E+9	1.63E+3	2.236052789E-1	1.041892808E-2	3.333945475E+0
 	0E+0	3.793246043E-7	1.25538E+2	-2.528825982E-7	2.950289907E-7	1.4926E+4	8E+0	6.75E+9	1.631E+3	2.23905219E-1	1.021388835E-2	3.334194207E+0
 	0E+0	8.429434081E-8	-9E+1	0E+0	-1.264411577E-7	1.4927E+4	8E+0	6.75E+9	1.632E+3	2.24205159E-1	1.039018589E-2	3.334142321E+0
 	0E+0	5.479115889E-7	-1.1766E+1	5.479115889E-7	-1.264411577E-7	1.4928E+4	8E+0	6.75E+9	1.633E+3	2.24505099E-1	1.03478111E-2	3.334207503E+0
 	0E+0	6.322057883E-7	-1.2528E+1	6.322057883E-7	-1.685883988E-7	1.4929E+4	8E+0	6.75E+9	1.634E+3	2.24805039E-1	1.058557895E-2	3.333987309E+0
 	0E+0	8.007956013E-7	-2.9538E+1	6.743550093E-7	-4.214709969E-7	1.493E+4	8E+0	6.75E+9	1.635E+3	2.25104979E-1	1.064391605E-2	3.333908182E+0
 	0E+0	9.693825858E-7	-3.8232E+1	7.586477945E-7	-6.322057883E-7	1.4931E+4	8E+0	6.75E+9	1.636E+3	2.25404919E-1	1.058385522E-2	3.33403498E+0
 	0E+0	9.272361932E-7	-4.5E+1	6.322057883E-7	-6.743550093E-7	1.4932E+4	8E+0	6.75E+9	1.637E+3	2.25704859E-1	1.019732598E-2	3.33409011E+0
 	0E+0	1.095823178E-6	-6.2358E+1	5.057651963E-7	-1.011528978E-6	1.4933E+4	8E+0	6.75E+9	1.638E+3	2.26004799E-1	1.013867439E-2	3.334538605E+0
 	0E+0	6.743550093E-7	-4.6398E+1	4.636173895E-7	-5.057651963E-7	1.4934E+4	8E+0	6.75E+9	1.639E+3	2.263047391E-1	1.041284586E-2	3.334671889E+0
 	0E+0	6.743550093E-7	-5.313E+1	4.214709969E-7	-5.900579815E-7	1.4935E+4	8E+0	6.75E+9	1.64E+3	2.266046791E-1	1.045982189E-2	3.334161454E+0
 	0E+0	8.007956013E-7	-6.789E+1	2.950289907E-7	-7.586477945E-7	1.4936E+4	8E+0	6.75E+9	1.641E+3	2.269046191E-1	1.042603606E-2	3.334401106E+0
 	0E+0	4.214709969E-7	-5.5494E+1	2.528825982E-7	-3.793246043E-7	1.4937E+4	8E+0	6.75E+9	1.642E+3	2.272045591E-1	1.043961221E-2	3.334315168E+0
 	0E+0	8.429419939E-7	-3.1506E+1	7.165014019E-7	-4.636173895E-7	1.4938E+4	8E+0	6.75E+9	1.643E+3	2.275044991E-1	1.017687035E-2	3.334962131E+0
 	0E+0	1.053676785E-6	-4.0464E+1	8.007956013E-7	-7.165014019E-7	1.4939E+4	8E+0	6.75E+9	1.644E+3	2.278044391E-1	1.060203552E-2	3.333966879E+0
 	0E+0	6.743550093E-7	-4.9188E+1	4.214709969E-7	-5.479115889E-7	1.494E+4	8E+0	6.75E+9	1.645E+3	2.281043791E-1	1.033416168E-2	3.334031088E+0
 	0E+0	7.165014019E-7	-3.7236E+1	5.479115889E-7	-4.636173895E-7	1.4941E+4	8E+0	6.75E+9	1.646E+3	2.284043191E-1	1.041210246E-2	3.33410146E+0
 	0E+0	4.214709969E-7	-9E+1	0E+0	-4.636173895E-7	1.4942E+4	8E+0	6.75E+9	1.647E+3	2.287042591E-1	1.036752114E-2	3.33435992E+0
 	0E+0	1.685883988E-7	-7.5966E+1	4.214709969E-8	-2.107362056E-7	1.4943E+4	8E+0	6.75E+9	1.648E+3	2.290041992E-1	1.034919071E-2	3.334314844E+0
 	0E+0	5.479115889E-7	0E+0	5.479115889E-7	0E+0	1.4944E+4	8E+0	6.75E+9	1.649E+3	2.293041392E-1	1.033594511E-2	3.334514283E+0
 	0E+0	9.272361932E-7	-1.4382E+1	8.850883864E-7	-2.528825982E-7	1.4945E+4	8E+0	6.75E+9	1.65E+3	2.296040792E-1	1.049546725E-2	3.334330734E+0
 	0E+0	7.165014019E-7	-6.0252E+1	3.371767975E-7	-6.743550093E-7	1.4946E+4	8E+0	6.75E+9	1.651E+3	2.299040192E-1	1.046322033E-2	3.334376784E+0
 	0E+0	4.214709969E-7	-7.056E+1	1.264411577E-7	-4.214709969E-7	1.4947E+4	8E+0	6.75E+9	1.652E+3	2.302039592E-1	1.042788363E-2	3.33441732E+0
 	0E+0	4.214709969E-7	-3.2004E+1	3.371767975E-7	-2.528825982E-7	1.4948E+4	8E+0	6.75E+9	1.653E+3	2.305038992E-1	1.030573337E-2	3.334512662E+0
 	0E+0	3.793246043E-7	-5.4462E+1	2.107362056E-7	-3.371767975E-7	1.4949E+4	8E+0	6.75E+9	1.654E+3	2.308038392E-1	1.042171441E-2	3.334422833E+0
 	0E+0	5.900579815E-7	-5.2698E+1	3.371767975E-7	-5.057651963E-7	1.495E+4	8E+0	6.75E+9	1.655E+3	2.311037792E-1	1.041032397E-2	3.33431452E+0
 	0E+0	8.007956013E-7	-3.3234E+1	6.743550093E-7	-4.636173895E-7	1.4951E+4	8E+0	6.75E+9	1.656E+3	2.314037193E-1	1.032670986E-2	3.334421536E+0
 	0E+0	1.011528978E-6	-3.369E+1	8.429419939E-7	-5.900579815E-7	1.4952E+4	8E+0	6.75E+9	1.657E+3	2.317036593E-1	1.060336691E-2	3.334250958E+0
 	0E+0	8.850883864E-7	-3.0468E+1	8.007956013E-7	-5.057651963E-7	1.4953E+4	8E+0	6.75E+9	1.658E+3	2.320035993E-1	1.056749803E-2	3.33423896E+0
 	0E+0	5.057651963E-7	-1.998E+1	5.057651963E-7	-2.107362056E-7	1.4954E+4	8E+0	6.75E+9	1.659E+3	2.323035393E-1	1.01531642E-2	3.334701076E+0
 	0E+0	2.107362056E-7	6.342E+0	2.107362056E-7	0E+0	1.4955E+4	8E+0	6.75E+9	1.66E+3	2.326034793E-1	1.06059621E-2	3.33442867E+0
 	0E+0	4.214709969E-7	-1.06392E+2	-1.264411577E-7	-4.214709969E-7	1.4956E+4	8E+0	6.75E+9	1.661E+3	2.329034193E-1	1.021248909E-2	3.334411159E+0
 	0E+0	4.214709969E-7	-5.5494E+1	2.528825982E-7	-3.793246043E-7	1.4957E+4	8E+0	6.75E+9	1.662E+3	2.332033593E-1	1.041464459E-2	3.334167615E+0
 	0E+0	2.950289907E-7	-2.8608E+1	2.528825982E-7	-1.685883988E-7	1.4958E+4	8E+0	6.75E+9	1.663E+3	2.335032993E-1	1.064184615E-2	3.334117674E+0
 	0E+0	2.528825982E-7	-5.196E+0	2.528825982E-7	-4.214709969E-8	1.4959E+4	8E+0	6.75E+9	1.664E+3	2.338032394E-1	1.043210204E-2	3.334136483E+0
 	0E+0	6.322057883E-7	-1.2528E+1	6.322057883E-7	-1.685883988E-7	1.496E+4	8E+0	6.75E+9	1.665E+3	2.341031794E-1	1.063543946E-2	3.334369974E+0
 	0E+0	1.011528978E-6	-1.2096E+1	9.693825858E-7	-2.528825982E-7	1.4961E+4	8E+0	6.75E+9	1.666E+3	2.344031194E-1	1.052648192E-2	3.33439235E+0
 	0E+0	7.586477945E-7	1.062E+1	7.165014019E-7	1.264411577E-7	1.4962E+4	8E+0	6.75E+9	1.667E+3	2.347030594E-1	1.055008104E-2	3.334345003E+0
 	0E+0	6.322057883E-7	2.2932E+1	5.900579815E-7	2.528825982E-7	1.4963E+4	8E+0	6.75E+9	1.668E+3	2.350029994E-1	1.052009911E-2	3.334085894E+0
 	0E+0	5.057651963E-7	1.7652E+1	5.057651963E-7	1.264411577E-7	1.4964E+4	8E+0	6.75E+9	1.669E+3	2.353029394E-1	1.042098331E-2	3.334482503E+0
 	0E+0	1.264411577E-7	4.5E+1	1.264411577E-7	8.429434081E-8	1.4965E+4	8E+0	6.75E+9	1.67E+3	2.356028794E-1	1.057215084E-2	3.333991201E+0
 	0E+0	2.107362056E-7	7.7472E+1	4.214709969E-8	2.107362056E-7	1.4966E+4	8E+0	6.75E+9	1.671E+3	2.359028194E-1	1.059745958E-2	3.333942881E+0
 	0E+0	2.528825982E-7	0E+0	2.528825982E-7	0E+0	1.4967E+4	8E+0	6.75E+9	1.672E+3	2.362027594E-1	1.053023879E-2	3.334660215E+0
 	0E+0	5.057651963E-7	-3.5838E+1	4.214709969E-7	-3.371767975E-7	1.4968E+4	8E+0	6.75E+9	1.673E+3	2.365026995E-1	1.045626674E-2	3.334881058E+0
 	0E+0	6.322057883E-7	-3.1326E+1	5.057651963E-7	-3.371767975E-7	1.4969E+4	8E+0	6.75E+9	1.674E+3	2.368026395E-1	1.052358078E-2	3.333971419E+0
 	0E+0	7.586477945E-7	-1.062E+1	7.165014019E-7	-1.685883988E-7	1.497E+4	8E+0	6.75E+9	1.675E+3	2.371025795E-1	1.03528144E-2	3.334106973E+0
 	0E+0	6.322057883E-7	-4.647E+1	4.214709969E-7	-5.057651963E-7	1.4971E+4	8E+0	6.75E+9	1.676E+3	2.374025195E-1	1.039483189E-2	3.334518824E+0
 	0E+0	7.586477945E-7	-4.6218E+1	5.057651963E-7	-5.900579815E-7	1.4972E+4	8E+0	6.75E+9	1.677E+3	2.377024595E-1	1.047778311E-2	3.334648216E+0
 	0E+0	5.479115889E-7	-6.6498E+1	2.107362056E-7	-5.479115889E-7	1.4973E+4	8E+0	6.75E+9	1.678E+3	2.380023995E-1	1.027835506E-2	3.33468551E+0
 	0E+0	4.214709969E-7	-4.2882E+1	2.950289907E-7	-3.371767975E-7	1.4974E+4	8E+0	6.75E+9	1.679E+3	2.383023395E-1	1.044483235E-2	3.33455255E+0
 	0E+0	5.057651963E-7	-1.5252E+1	5.057651963E-7	-1.685883988E-7	1.4975E+4	8E+0	6.75E+9	1.68E+3	2.386022795E-1	1.058002956E-2	3.334160805E+0
 	0E+0	5.900579815E-7	-2.4624E+1	5.479115889E-7	-2.950289907E-7	1.4976E+4	8E+0	6.75E+9	1.681E+3	2.389022196E-1	1.05108629E-2	3.334516229E+0
 	0E+0	2.950289907E-7	0E+0	2.950289907E-7	0E+0	1.4977E+4	8E+0	6.75E+9	1.682E+3	2.392021596E-1	1.032234327E-2	3.334457532E+0
 	0E+0	6.743550093E-7	2.217E+1	6.322057883E-7	2.528825982E-7	1.4978E+4	8E+0	6.75E+9	1.683E+3	2.395020996E-1	1.04801613E-2	3.334644325E+0
 	0E+0	6.322057883E-7	4.086E+0	6.322057883E-7	4.214709969E-8	1.4979E+4	8E+0	6.75E+9	1.684E+3	2.398020396E-1	1.037682887E-2	3.334595681E+0
 	0E+0	3.371767975E-7	-1.4034E+1	3.371767975E-7	-1.264411577E-7	1.498E+4	8E+0	6.75E+9	1.685E+3	2.401019796E-1	1.020360535E-2	3.334560981E+0
 	0E+0	3.793246043E-7	5.9034E+1	2.107362056E-7	3.371767975E-7	1.4981E+4	8E+0	6.75E+9	1.686E+3	2.404019196E-1	1.033880673E-2	3.334967644E+0
 	0E+0	1.264411577E-7	-1.5948E+1	1.264411577E-7	-8.429434081E-8	1.4982E+4	8E+0	6.75E+9	1.687E+3	2.407018596E-1	1.051618206E-2	3.334644649E+0
 	0E+0	9.272361932E-7	-4.3026E+1	6.743550093E-7	-6.743550093E-7	1.4983E+4	8E+0	6.75E+9	1.688E+3	2.410017996E-1	1.050365761E-2	3.334510716E+0
 	0E+0	6.743550093E-7	-7.0344E+1	2.107362056E-7	-6.743550093E-7	1.4984E+4	8E+0	6.75E+9	1.689E+3	2.413017397E-1	1.032582205E-2	3.334775663E+0
 	0E+0	6.322057883E-7	-1.29288E+2	-4.636173895E-7	-5.479115889E-7	1.4985E+4	8E+0	6.75E+9	1.69E+3	2.416016797E-1	1.022047033E-2	3.334814253E+0
 	0E+0	4.636173895E-7	-9.8532E+1	-8.429434081E-8	-5.057651963E-7	1.4986E+4	8E+0	6.75E+9	1.691E+3	2.419016197E-1	1.036821565E-2	3.335073363E+0
 	0E+0	5.479115889E-7	-3.4992E+1	4.636173895E-7	-3.371767975E-7	1.4987E+4	8E+0	6.75E+9	1.692E+3	2.422015597E-1	1.049183996E-2	3.334853817E+0
 	0E+0	6.743550093E-7	-1.7244E+1	6.743550093E-7	-2.528825982E-7	1.4988E+4	8E+0	6.75E+9	1.693E+3	2.425014997E-1	1.069825797E-2	3.334689401E+0
 	0E+0	4.636173895E-7	1.929E+1	4.636173895E-7	1.264411577E-7	1.4989E+4	8E+0	6.75E+9	1.694E+3	2.428014397E-1	1.033539039E-2	3.335190108E+0
 	0E+0	1.685883988E-7	-7.122E+0	1.685883988E-7	-4.214709969E-8	1.499E+4	8E+0	6.75E+9	1.695E+3	2.431013797E-1	1.037589957E-2	3.334971859E+0
 	0E+0	5.057651963E-7	-4.5E+1	3.371767975E-7	-3.793246043E-7	1.4991E+4	8E+0	6.75E+9	1.696E+3	2.434013197E-1	1.060846603E-2	3.334870032E+0
 	0E+0	6.743550093E-7	-4.7724E+1	4.636173895E-7	-5.479115889E-7	1.4992E+4	8E+0	6.75E+9	1.697E+3	2.437012597E-1	1.035203562E-2	3.334796417E+0
 	0E+0	6.743550093E-7	-5.313E+1	4.214709969E-7	-5.900579815E-7	1.4993E+4	8E+0	6.75E+9	1.698E+3	2.440011998E-1	1.015768495E-2	3.334711777E+0
 	0E+0	8.429419939E-7	-4.9398E+1	5.479115889E-7	-6.743550093E-7	1.4994E+4	8E+0	6.75E+9	1.699E+3	2.443011398E-1	1.045681102E-2	3.334996181E+0
 	0E+0	1.095823178E-6	-7.002E+1	3.371767975E-7	-1.053676785E-6	1.4995E+4	8E+0	6.75E+9	1.7E+3	2.446010798E-1	1.033528609E-2	3.335171947E+0
 	0E+0	6.743550093E-7	-6.783E+1	2.528825982E-7	-6.743550093E-7	1.4996E+4	8E+0	6.75E+9	1.701E+3	2.449010198E-1	1.034645384E-2	3.335201782E+0
 	0E+0	4.214709969E-7	1.2528E+1	4.214709969E-7	8.429434081E-8	1.4997E+4	8E+0	6.75E+9	1.702E+3	2.452009598E-1	1.033754409E-2	3.334902461E+0
 	0E+0	7.586477945E-7	-2.1162E+1	7.165014019E-7	-2.950289907E-7	1.4998E+4	8E+0	6.75E+9	1.703E+3	2.455008998E-1	9.996915161E-3	3.33531723E+0
 	0E+0	5.479115889E-7	-3.369E+1	4.636173895E-7	-3.371767975E-7	1.4999E+4	8E+0	6.75E+9	1.704E+3	2.458008398E-1	1.025242526E-2	3.335369441E+0
 	0E+0	6.743550093E-7	-4.9188E+1	4.214709969E-7	-5.479115889E-7	1.5E+4	8E+0	6.75E+9	1.705E+3	2.461007798E-1	1.010417253E-2	3.334975751E+0
 	0E+0	9.272361932E-7	-3.7998E+1	7.165014019E-7	-5.900579815E-7	1.5001E+4	8E+0	6.75E+9	1.706E+3	2.464007199E-1	1.013501183E-2	3.334901812E+0
 	0E+0	1.011528978E-6	-3.4776E+1	8.429419939E-7	-5.900579815E-7	1.5002E+4	8E+0	6.75E+9	1.707E+3	2.467006599E-1	1.003250479E-2	3.335085037E+0
 	0E+0	1.011528978E-6	-2.958E+1	8.429419939E-7	-5.057651963E-7	1.5003E+4	8E+0	6.75E+9	1.708E+3	2.470005999E-1	1.035422231E-2	3.334920946E+0
 	0E+0	5.479115889E-7	-3.687E+1	4.636173895E-7	-3.793246043E-7	1.5004E+4	8E+0	6.75E+9	1.709E+3	2.473005399E-1	1.11199218E-2	3.3339685E+0
 	0E+0	3.793246043E-7	6.708E+0	3.793246043E-7	4.214709969E-8	1.5005E+4	8E+0	6.75E+9	1.71E+3	2.476004799E-1	1.090970087E-2	3.334451371E+0
 	0E+0	3.371767975E-7	-6.1698E+1	1.264411577E-7	-3.371767975E-7	1.5006E+4	8E+0	6.75E+9	1.711E+3	2.479004199E-1	1.072027593E-2	3.334428346E+0
 	0E+0	7.165014019E-7	-6.9228E+1	2.528825982E-7	-7.165014019E-7	1.5007E+4	8E+0	6.75E+9	1.712E+3	2.482003599E-1	1.046434448E-2	3.335222861E+0
 	0E+0	9.272361932E-7	-3.408E+1	8.007956013E-7	-5.479115889E-7	1.5008E+4	8E+0	6.75E+9	1.713E+3	2.485002999E-1	1.045163055E-2	3.335130762E+0
 	0E+0	8.007956013E-7	-2.211E+1	7.165014019E-7	-3.371767975E-7	1.5009E+4	8E+0	6.75E+9	1.714E+3	2.4880024E-1	1.062331698E-2	3.33484117E+0
 	0E+0	3.793246043E-7	-2.8074E+1	3.371767975E-7	-2.107362056E-7	1.501E+4	8E+0	6.75E+9	1.715E+3	2.4910018E-1	1.08227622E-2	3.334542821E+0
 	0E+0	5.057651963E-7	-2.6562E+1	4.636173895E-7	-2.528825982E-7	1.5011E+4	8E+0	6.75E+9	1.716E+3	2.4940012E-1	1.042121217E-2	3.334701724E+0
 	0E+0	8.007956013E-7	-1.3626E+1	7.586477945E-7	-2.107362056E-7	1.5012E+4	8E+0	6.75E+9	1.717E+3	2.4970006E-1	1.050374956E-2	3.334743234E+0
 	0E+0	9.272361932E-7	-1.7721E+2	-9.693825858E-7	-8.429434081E-8	1.5013E+4	9E+0	7E+9	5E+1	-2.5E-1	1.068744669E-2	3.323045376E+0
 	0E+0	4.214709969E-7	1.64478E+2	-4.636173895E-7	8.429434081E-8	1.5014E+4	9E+0	7E+9	5.1E+1	-2.5E-1	1.044176927E-2	3.324091866E+0
 	0E+0	4.214709969E-7	1.45494E+2	-3.793246043E-7	2.528825982E-7	1.5015E+4	9E+0	7E+9	5.2E+1	-2.4970006E-1	1.094087747E-2	3.323790598E+0
 	0E+0	6.322057883E-7	1.61568E+2	-6.743550093E-7	2.107362056E-7	1.5016E+4	9E+0	7E+9	5.3E+1	-2.4940012E-1	1.054843647E-2	3.324160615E+0
 	0E+0	5.900579815E-7	1.49418E+2	-5.479115889E-7	2.950289907E-7	1.5017E+4	9E+0	7E+9	5.4E+1	-2.4910018E-1	1.086041787E-2	3.324120079E+0
 	0E+0	6.322057883E-7	1.30602E+2	-4.636173895E-7	4.636173895E-7	1.5018E+4	9E+0	7E+9	5.5E+1	-2.4880024E-1	1.090082048E-2	3.324242013E+0
 	0E+0	2.950289907E-7	1.35E+2	-2.528825982E-7	2.107362056E-7	1.5019E+4	9E+0	7E+9	5.6E+1	-2.485002999E-1	1.111642237E-2	3.323764331E+0
 	0E+0	4.214709969E-7	1.5762E+2	-4.214709969E-7	1.264411577E-7	1.502E+4	9E+0	7E+9	5.7E+1	-2.482003599E-1	1.060960566E-2	3.323507816E+0
 	0E+0	2.528825982E-7	-1.69692E+2	-2.950289907E-7	-8.429434081E-8	1.5021E+4	9E+0	7E+9	5.8E+1	-2.479004199E-1	1.068384714E-2	3.323973175E+0
 	0E+0	7.586477945E-7	-1.3749E+2	-5.900579815E-7	-5.479115889E-7	1.5022E+4	9E+0	7E+9	5.9E+1	-2.476004799E-1	1.070350255E-2	3.323466306E+0
 	0E+0	1.011528978E-6	-1.62804E+2	-1.011528978E-6	-3.371767975E-7	1.5023E+4	9E+0	7E+9	6E+1	-2.473005399E-1	1.08815456E-2	3.32418364E+0
