TDI Format 1.5	Offset	Absorption::R	Absorption::Theta	Absorption::X	Absorption::Y	iterator	multi[0]:iterator	multi[0]:y	multi[1]:iterator	multi[1]:y	multi[1]:Gate Readback std	multi[1]:Gate Readback
Absorption:Option: SR830 Ratio 1{U16}=0	0E+0	2.528825982E-7	-1.4034E+1	2.528825982E-7	-8.429434081E-8	3.8E+1	0E+0	4.5E+9	8.7E+1	-2.392021596E-1	1.078979994E-2	3.320478929E+0
Absorption:Option: SR830 Ratio 2{U16}=0	0E+0	3.371767975E-7	8.6184E+1	0E+0	3.371767975E-7	3.9E+1	0E+0	4.5E+9	8.8E+1	-2.389022196E-1	1.085411547E-2	3.320409855E+0
Absorption:Option: SR830 Ref Amplitude{Double Float}=0.100000	0E+0	8.429419939E-7	8.2302E+1	8.429434081E-8	8.429419939E-7	4E+1	0E+0	4.5E+9	8.9E+1	-2.386022795E-1	1.054196266E-2	3.320370292E+0
Absorption:Option: SR830 Ref Frequency{Double Float}=73.000000	0E+0	6.743550093E-7	1.09656E+2	-2.528825982E-7	6.322057883E-7	4.1E+1	0E+0	4.5E+9	9E+1	-2.383023395E-1	1.043313188E-2	3.320239602E+0
Absorption:Option: SR830 Ref Source{Boolean}=False	0E+0	2.107362056E-7	-1.73658E+2	-2.528825982E-7	-4.214709969E-8	4.2E+1	0E+0	4.5E+9	9.1E+1	-2.380023995E-1	1.071069558E-2	3.320218847E+0
Absorption:Option: SR830 Requested Parameters{1D Array (Enum U16 ((X,Y,R,Theta,Aux 1,Aux 2,Aux 3,Aux 4,Ref Freq,Channel 1,Channel 2)))}=[R,Theta,X,Y]	0E+0	2.950289907E-7	-1.18608E+2	-1.685883988E-7	-2.950289907E-7	4.3E+1	0E+0	4.5E+9	9.2E+1	-2.377024595E-1	1.103836458E-2	3.320716311E+0
Absorption:Option: SR830 Time Constant value{Double Float}=0.000000	0E+0	7.165014019E-7	-1.04934E+2	-2.107362056E-7	-7.165014019E-7	4.4E+1	0E+0	4.5E+9	9.3E+1	-2.374025195E-1	1.064144834E-2	3.320415368E+0
Absorption:Option: SR830 Trigger Edge{Enum U16 ((Zero Crossing,Rising Edge,Falling Edge))}=Falling Edge	0E+0	8.429419939E-7	-9.6342E+1	-1.264411577E-7	-8.850883864E-7	4.5E+1	0E+0	4.5E+9	9.4E+1	-2.371025795E-1	1.068805815E-2	3.32051071E+0
Absorption:Option: SR830 VISA{Visa Refnum (Void)}=GPIB0::3::INSTR	0E+0	8.007956013E-7	-8.5098E+1	4.214709969E-8	-8.429419939E-7	4.6E+1	0E+0	4.5E+9	9.5E+1	-2.368026395E-1	1.091731595E-2	3.320596647E+0
Absorption:Option:560 Comport{Visa Refnum (Void)}=COM1	0E+0	6.743550093E-7	-6.1698E+1	2.950289907E-7	-6.322057883E-7	4.7E+1	0E+0	4.5E+9	9.6E+1	-2.365026995E-1	1.073676728E-2	3.320476984E+0
Absorption:Option:560 Filter High Pass{U16}=0	0E+0	5.057651963E-7	-7.002E+1	1.685883988E-7	-5.479115889E-7	4.8E+1	0E+0	4.5E+9	9.7E+1	-2.362027594E-1	1.088756192E-2	3.320690368E+0
Absorption:Option:560 Filter Lowpass{U16}=0	0E+0	8.429434081E-8	-6.3438E+1	4.214709969E-8	-1.264411577E-7	4.9E+1	0E+0	4.5E+9	9.8E+1	-2.359028194E-1	1.072741385E-2	3.320483469E+0
Absorption:Option:560 Filter Mode{U16}=0	0E+0	8.429434081E-8	-1.2369E+2	-8.429434081E-8	-8.429434081E-8	5E+1	0E+0	4.5E+9	9.9E+1	-2.356028794E-1	1.074110344E-2	3.320566488E+0
Absorption:Option:560 Invert{Boolean}=False	0E+0	4.214709969E-7	-8.6988E+1	0E+0	-4.636173895E-7	5.1E+1	0E+0	4.5E+9	1E+2	-2.353029394E-1	1.078230363E-2	3.320671559E+0
