[Header]
; SQUID VSM Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3540392668.062,03/08/2012,6:24 pm
BYAPP,SQUID AC,0.9.1.0
INFO,SQUID VSM Measurement Release 1.1.7 Build 37,APPNAME
INFO,0,MOMENT_UNITS
INFO,FeNi,SAMPLE_MATERIAL
INFO,Penrose lattice,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,65.55,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal" (V),Range,M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err.(deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3540392833.266,299.870910644531,4.76384735107422,-5.80786352643485E-6,1.16492416770369E-8,1,1,13.9012460708618,7.98182757936227,32.5399996340275,-0.0115848819956317,-0.00173472867946234,1,2.14691063366543E-8,-5.80786352643485E-6,2.14691063366543E-8,,,,,,,,,,,,,,,,,,,,,299.863708496094,299.878112792969,4.76384735107422,4.76384735107422,52.5363792915825,5.67524790571926,6.65637397766113,14,1,0,0,0,0.499725341796875,33.2355842590332,1,1,1,299.863708496094,0,,,,,,,,,,,,,,,,
,3540392839.609,299.819473266602,4.90358734130859,-5.80665468627344E-6,8.70063528599458E-9,1,1,13.9012460708618,7.98173482805539,32.5399996340275,-0.0115800269732466,-0.00174977324541705,1,1.37311043816744E-8,-5.80665468627344E-6,1.37311043816744E-8,,,,,,,,,,,,,,,,,,,,,299.81689453125,299.822052001953,4.90358734130859,4.90358734130859,52.4703316817075,5.67571308466319,6.66918277740478,14,1,0,0,0,0.50048828125,32.7468223571777,1,1,1,299.81689453125,0,,,,,,,,,,,,,,,,
,3540392848.617,299.792190551758,5.58958148956299,-5.79812055914727E-6,8.09536323892218E-9,1,1,13.9012460708618,7.98175508411529,32.5499983131886,-0.0115601133754931,-0.00176616567889754,1,4.19945252273388E-9,-5.79812055914727E-6,4.19945252273388E-9,,,,,,,,,,,,,,,,,,,,,299.786804199219,299.797576904297,5.58958148956299,5.58958148956299,52.4113187285055,5.675618659059,6.66597032546997,14,1,0,0,0,0.496902465820313,33.2355842590332,1,1,1,299.786804199219,0,,,,,,,,,,,,,,,,
,3540392857.820,299.750274658203,6.05961418151855,-5.8026615249953E-6,9.72260970466148E-9,1,1,13.9012460708618,7.98173610723242,32.5399996340275,-0.0115739732589733,-0.00173613763932086,1,1.99580254137445E-8,-5.8026615249953E-6,1.99580254137445E-8,,,,,,,,,,,,,,,,,,,,,299.748901367188,299.751647949219,6.05961418151855,6.05961418151855,52.4320318842652,5.6758054758989,6.65689325332642,14,1,0,0,0,0.4974365234375,33.2355842590332,1,1,1,299.748901367188,0,,,,,,,,,,,,,,,,
,3540392866.984,299.737976074219,6.58046150207519,-5.80447577609104E-6,9.98008058134979E-9,1,1,13.9012460708618,7.98176801343261,32.5499983131886,-0.0115755694722655,-0.00175003053743673,1,1.32696155811236E-8,-5.80447577609104E-6,1.32696155811236E-8,,,,,,,,,,,,,,,,,,,,,299.733917236328,299.742034912109,6.58046150207519,6.58046150207519,52.4386757266786,5.67547958433749,6.65488338470459,14,1,0,0,0,0.49774169921875,33.2355842590332,1,1,1,299.733917236328,0,,,,,,,,,,,,,,,,
,3540392876.101,299.683731079102,7.0886058807373,-5.79558899528636E-6,8.02090997327849E-9,1,1,13.9012460708618,7.98178940134696,32.5399996340275,-0.0115553564566599,-0.00176369192955482,1,5.05385215405261E-9,-5.79558899528636E-6,5.05385215405261E-9,,,,,,,,,,,,,,,,,,,,,299.67724609375,299.690216064453,7.0886058807373,7.0886058807373,52.3745821881017,5.67560535612595,6.65316772460937,14,1,0,0,0,0.497207641601562,33.2355842590332,1,1,1,299.67724609375,0,,,,,,,,,,,,,,,,
,3540392882.547,299.650360107422,7.74919271469116,-5.80252025041855E-6,7.00005172905886E-9,1,1,13.9012460708618,7.9819357476495,32.5499983131886,-0.0115704190714742,-0.00175851279740652,1,8.72513424986347E-9,-5.80252025041855E-6,8.72513424986347E-9,,,,,,,,,,,,,,,,,,,,,299.650238037109,299.650482177734,7.74919271469116,7.74919271469116,52.4773663383806,5.67551557263728,6.66343402862549,14,1,0,0,0,0.499420166015625,33.2355842590332,1,1,1,299.650482177734,0,,,,,,,,,,,,,,,,
,3540392891.617,299.668334960937,8.24463272094727,-5.8120905503921E-6,8.88651717349297E-9,1,1,13.9012460708618,7.98177584745066,32.5499983131886,-0.0115889196915588,-0.00176432583619393,1,7.26837133282531E-9,-5.8120905503921E-6,7.26837133282531E-9,,,,,,,,,,,,,,,,,,,,,299.666198730469,299.670471191406,8.24463272094727,8.24463272094727,52.3601220604959,5.67590697478965,6.66055059432983,14,1,0,0,0,0.50079345703125,33.2355842590332,1,1,1,299.666198730469,0,,,,,,,,,,,,,,,,
,3540392912.062,299.577392578125,9.09577369689941,-5.79350387929279E-6,1.08611692915982E-8,1,1,13.9012460708618,7.98181045933348,32.5399996340275,-0.0115559888448493,-0.00173197450619576,1,2.06450530233733E-8,-5.79350387929279E-6,2.06450530233733E-8,,,,,,,,,,,,,,,,,,,,,299.577026367188,299.577758789063,9.09577369689941,9.09577369689941,52.4617337679959,5.6758457340211,6.66781234741211,14,1,0,0,0,0.497589111328125,33.7243423461914,1,1,1,299.577758789063,0,,,,,,,,,,,,,,,,
,3540392921.366,299.575088500977,9.75636100769043,-5.78184752674199E-6,9.26657845332954E-9,1,1,13.9012460708618,7.98178863544991,32.5399996340275,-0.0115302393292932,-0.00174464899233919,1,1.24964465220688E-8,-5.78184752674199E-6,1.24964465220688E-8,,,,,,,,,,,,,,,,,,,,,299.571838378906,299.578338623047,9.75636100769043,9.75636100769043,52.4054565146113,5.67596535639953,6.6682014465332,14,1,0,0,0,0.500717163085937,33.2355842590332,1,1,1,299.571838378906,0,,,,,,,,,,,,,,,,
