[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,28214732.41,11/22/2016,2:28 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,381,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,15.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,35.79,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,28216104.49,299.99739075,-0.0891649797558785,-0.00738314745867869,1.51602563532435E-7,1,0.999253354069792,40.0298881530762,1.99666771557757,7.53999646753073,-0.0813843470953999,-0.0141339187744816,2.5,7.24870794840836E-6,-0.00738293282972319,2.3519826233239E-6,299.997345,299.9974365,-0.0891649797558785,-0.0891649797558785,56.2608391857175,19.6131182656042,25.88013935,0,0,0,4369,300.31995,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99739075,,,,
,28216105.555,299.997879,-0.0891649797558785,-0.00738008365464172,7.95645171408305E-7,1,0.999253354069792,40.0298881530762,1.99671091805199,7.53999646753073,-0.0813528010646875,-0.014125473288252,2.5,7.50696946020545E-6,-0.00737986914862527,2.61227122555986E-6,299.9974365,299.9983215,-0.0891649797558785,-0.0891649797558785,56.3585427506213,19.6115017552074,25.88013935,0,0,0,4369,300.3201,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.997879,,,,
,28216106.58,299.99749755,-0.0891649797558785,-0.00737983425753287,7.1441345715434E-7,1,0.999253354069792,40.0298881530762,1.99671091805199,7.53999646753073,-0.0813509443579295,-0.0141198938373895,2.5,7.96967137762673E-6,-0.00737962017430145,3.07511806563865E-6,299.9966736,299.9983215,-0.0891649797558785,-0.0891649797558785,56.2944492120444,19.6115017552074,25.88013935,0,0,0,4369,300.31975,-0.0891649797558785,,,,,,,,,,,,,,,,,54.100574,,,,,,299.99749755,,,,
,28216107.525,299.9972992,-0.0891649797558785,-0.00737800151975694,5.57259864068843E-7,1,0.999253354069792,40.0298881530762,1.99667310240076,7.53999646753073,-0.0813277170434196,-0.0141248017914766,2.5,7.18044289601538E-6,-0.00737778702404855,2.28712563864769E-6,299.9966736,299.9979248,-0.0891649797558785,-0.0891649797558785,56.3452550657944,19.6111366943399,26.52967355,0,0,0,4369,300.3196,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.9972992,,,,
,28216108.52,299.99809265,-0.0891649797558785,-0.00737803868660943,6.35465918035411E-7,1,0.999253354069792,40.0298881530762,1.99667091376819,7.53999646753073,-0.0813298652136287,-0.0141143906592467,2.5,8.1301620424014E-6,-0.00737782459370292,3.2368024366963E-6,299.9979248,299.9982605,-0.0891649797558785,-0.0891649797558785,56.3171164391021,19.6115821351034,26.662199,0,0,0,4369,300.32015,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.99809265,,,,
,28216109.51,299.99865725,-0.0891649797558785,-0.00737601140554312,2.63092775921445E-7,1,0.999253354069792,40.0298881530762,1.99675335404386,7.53999646753073,-0.081310509387955,-0.0141127795713026,2.5,7.97399851847301E-6,-0.00737579710762507,3.08198412227431E-6,299.9982605,299.999054,-0.0891649797558785,-0.0891649797558785,56.289759440929,19.6142362153764,26.52967355,0,0,0,4369,300.31995,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99865725,,,,
,28216110.51,299.9985962,-0.0891649797558785,-0.00737557935297882,9.56002820944524E-7,1,0.999253354069792,40.0298881530762,1.99671262227447,7.53999646753073,-0.0813040319854469,-0.0141121839673975,2.5,7.92698406180095E-6,-0.00737536505350742,3.03524988618304E-6,299.9981384,299.999054,-0.0891649797558785,-0.0891649797558785,56.2037803038136,19.6145637639219,26.3971481,0,0,0,4369,300.31955,-0.0891649797558785,,,,,,,,,,,,,,,,,54.480885,,,,,,299.9985962,,,,
,28216111.54,299.9990692,-0.0891649797558785,-0.00737337330467932,6.08014066395107E-7,1,0.999253354069792,40.0298881530762,1.99670281286108,7.53999646753073,-0.0812785445837235,-0.0141123400729874,2.5,7.52124706836718E-6,-0.00737315866954243,2.63102079419549E-6,299.9981384,300,-0.0891649797558785,-0.0891649797558785,56.3022654972367,19.6125306063951,26.3971481,0,0,0,4369,300.32125,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9990692,,,,
,28216112.595,299.99917605,-0.0891649797558785,-0.0073723579053781,6.4999135774551E-7,1,0.999253354069792,40.0298881530762,1.99674859134307,7.53999646753073,-0.081268732801721,-0.0141132564871065,2.5,7.289448576618E-6,-0.00737214311992462,2.39994410350545E-6,299.9983521,300,-0.0891649797558785,-0.0891649797558785,56.1568825926598,19.6129050025739,26.3971481,0,0,0,4369,300.3234,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99917605,,,,
,28216113.58,299.9980164,-0.0891649797558785,-0.00736932884419278,4.52231769592898E-7,1,0.999253354069792,40.0298881530762,1.99674859134307,7.53999646753073,-0.0812362070517695,-0.0141025278682644,2.5,7.7338186482246E-6,-0.00736911477429651,2.84630316152783E-6,299.9976807,299.9983521,-0.0891649797558785,-0.0891649797558785,56.2256659023521,19.6129050025739,26.52967355,0,0,0,4369,300.32305,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9980164,,,,
,28216114.525,299.99821475,-0.0891649797558785,-0.00736888799295144,5.27663519220877E-7,1,0.999253354069792,40.0298881530762,1.99663379960822,7.53999646753073,-0.081222317520384,-0.0141263830009263,2.5,5.42022501565581E-6,-0.00736867234145304,5.33029235407679E-7,299.9976807,299.9987488,-0.0891649797558785,-0.0891649797558785,56.3319673809675,19.6112226060894,26.52967355,0,0,0,4369,300.3209,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99821475,,,,
,28216115.5,299.99853515,-0.0891649797558785,-0.00736551802197368,7.75634153487189E-7,1,0.999253354069792,40.0298881530762,1.99661174155932,7.53999646753073,-0.0811901302826262,-0.0140863507344874,2.5,8.45015830937836E-6,-0.00736530438306169,3.56504365903065E-6,299.9983215,299.9987488,-0.0891649797558785,-0.0891649797558785,56.1123297670636,19.6146947861603,26.3971481,0,0,0,4369,300.3176,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99853515,,,,
,28216116.5,299.9985046,-0.0891649797558785,-0.00736560451334535,6.32664668658801E-7,1,0.999253354069792,40.0298881530762,1.99663800522561,7.53999646753073,-0.0811902670896148,-0.0140973637733223,2.5,7.48250306052218E-6,-0.00736539023487284,2.59731550182967E-6,299.9983215,299.9986877,-0.0891649797558785,-0.0891649797558785,56.432015831429,19.6146186739046,26.3971481,0,0,0,4369,300.3153,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.9985046,,,,
,28216117.58,299.99908445,-0.0891649797558785,-0.00736354463767504,7.51970975756742E-7,1,0.999253354069792,40.0298881530762,1.99663951168153,7.53999646753073,-0.0811659073283265,-0.0141032331958944,2.5,6.59100475315565E-6,-0.00736332966609661,1.70723585424875E-6,299.9986877,299.9994812,-0.0891649797558785,-0.0891649797558785,56.3225878387367,19.612854673937,25.88013935,0,0,0,4369,300.31665,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.99908445,,,,
,28216118.585,299.999176,-0.0891649797558785,-0.00736282989879317,5.32145217808169E-7,1,0.999253354069792,40.0298881530762,1.99663951168153,7.53999646753073,-0.0811594334617842,-0.0140938226241612,2.5,7.31998924598504E-6,-0.00736261540954229,2.43671408966874E-6,299.9988708,299.9994812,-0.0891649797558785,-0.0891649797558785,56.3491632083906,19.612854673937,25.88013935,0,0,0,4369,300.3188,-0.0891649797558785,,,,,,,,,,,,,,,,,54.100574,,,,,,299.999176,,,,
,28216119.545,299.9986877,-0.0891649797558785,-0.00736101125649654,4.41083924018409E-7,1,0.999253354069792,40.0298881530762,1.99666745946249,7.53999646753073,-0.0811398325821847,-0.0140943626692265,2.5,6.97090430687884E-6,-0.00736079672621449,2.0888119948732E-6,299.9985046,299.9988708,-0.0891649797558785,-0.0891649797558785,56.384336491756,19.6132606969877,26.52967355,0,0,0,4369,300.31705,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9986877,,,,
,28216120.54,299.998703,-0.0891649797558785,-0.00735885989927922,1.80627445983134E-7,1,0.999253354069792,40.0298881530762,1.99665898614876,7.53999646753073,-0.0811162528556216,-0.014087483465355,2.5,7.2139772997096E-6,-0.0073586455895486,2.33330069453027E-6,299.9985046,299.9989014,-0.0891649797558785,-0.0891649797558785,56.310081782429,19.6126700662359,26.0126648,0,0,0,4369,300.31685,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.998703,,,,
,28216121.535,299.9985962,-0.0891649797558785,-0.00735857237655234,5.04655841913539E-7,1,0.999253354069792,40.0298881530762,1.99666401969191,7.53999646753073,-0.0811122089596865,-0.0140931233828407,2.5,6.65519059095087E-6,-0.00735835773396068,1.77470686841605E-6,299.998291,299.9989014,-0.0891649797558785,-0.0891649797558785,56.2100333319675,19.6152459988816,25.3631306,0,0,0,4369,300.3161,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9985962,,,,
,28216122.55,299.99905395,-0.0891649797558785,-0.00735635758096801,6.93459683483464E-7,1,0.999253354069792,40.0298881530762,1.99666401969191,7.53999646753073,-0.0810893544106478,-0.014079949561869,2.5,7.46364572869027E-6,-0.00735614340731156,2.5845769172519E-6,299.998291,299.9998169,-0.0891649797558785,-0.0891649797558785,56.3929344054675,19.6152459988816,25.88013935,0,0,0,4369,300.31455,-0.0891649797558785,,,,,,,,,,,,,,,,,54.100574,,,,,,299.99905395,,,,
,28216123.555,299.99942015,-0.0891649797558785,-0.00735374309113866,7.25891192003841E-7,1,0.999253354069792,40.0298881530762,1.99664973613165,7.53999646753073,-0.0810588580876944,-0.0140811859408554,2.5,6.88578831599335E-6,-0.00735352850774281,2.00847065747392E-6,299.9990234,299.9998169,-0.0891649797558785,-0.0891649797558785,56.3241510957752,19.6126793100744,26.52967355,0,0,0,4369,300.31455,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99942015,,,,
,28216124.54,299.99923705,-0.0891649797558785,-0.00735443536600885,7.56483532192901E-7,1,0.999253354069792,40.0298881530762,1.99659990221723,7.53999646753073,-0.0810651157363583,-0.0140786813987539,2.5,7.2027627557129E-6,-0.00735422102173606,2.32494669506707E-6,299.9990234,299.9994507,-0.0891649797558785,-0.0891649797558785,56.3530713509867,19.6122228847717,26.1399994,0,0,0,4369,300.313,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.99923705,,,,
,28216125.5,300.0005493,-0.0891649797558785,-0.00735343942608056,7.13943167289589E-7,1,0.999253354069792,40.0298881530762,1.99664424661178,7.53999646753073,-0.0810538920278665,-0.0140885626091946,2.5,6.15995649147787E-6,-0.0073532240448422,1.28282041028943E-6,299.9994507,300.0016479,-0.0891649797558785,-0.0891649797558785,56.3655774072944,19.6125429716677,26.00747395,0,0,0,4369,300.3124,-0.0891649797558785,,,,,,,,,,,,,,,,,54.100574,,,,,,300.0005493,,,,
,28216126.5,300.00119015,-0.0891649797558785,-0.00735063282613579,3.64708140421538E-7,1,0.999253354069792,40.0298881530762,1.9966385045816,7.53999646753073,-0.081025779956218,-0.0140656605007001,2.5,7.74414061788294E-6,-0.00735041839477791,2.86879644717246E-6,300.0007324,300.0016479,-0.0891649797558785,-0.0891649797558785,56.3069552683521,19.6140270684968,26.3971481,0,0,0,4369,300.31125,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,300.00119015,,,,
,28216127.52,300.00012205,-0.0891649797558785,-0.0073496748979854,2.5044336223225E-7,1,0.999253354069792,40.0298881530762,1.99666771108749,7.53999646753073,-0.0810159250076871,-0.0140666649787023,2.5,7.5039949699858E-6,-0.00734946064194422,2.62931264492192E-6,299.9995117,300.0007324,-0.0891649797558785,-0.0891649797558785,56.2749084990636,19.615818347719,26.3971481,0,0,0,4369,300.31225,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,300.00012205,,,,
,28216128.535,299.9993744,-0.0891649797558785,-0.00734970365934554,5.44867946421924E-7,1,0.999253354069792,40.0298881530762,1.99664180392693,7.53999646753073,-0.0810162003199674,-0.0140608972428699,2.5,8.0161528473844E-6,-0.00734948995672401,3.14145454199276E-6,299.9992371,299.9995117,-0.0891649797558785,-0.0891649797558785,56.3280592383713,19.6153933006144,25.88013935,0,0,0,4369,300.3132,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9993744,,,,
,28216129.515,299.99894715,-0.0891649797558785,-0.00734561664977978,6.8363033783413E-7,1,0.999253354069792,40.0298881530762,1.99664180392693,7.53999646753073,-0.0809697772338553,-0.0140609390305571,2.5,7.29847339855564E-6,-0.00734540271358257,2.42649556105052E-6,299.9986572,299.9992371,-0.0891649797558785,-0.0891649797558785,56.2381719586598,19.6153933006144,25.88013935,0,0,0,4369,300.3126,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99894715,,,,
,28216130.49,299.9988861,-0.0891649797558785,-0.00734386024928037,4.40246928939358E-7,1,0.999253354069792,40.0298881530762,1.99653240204533,7.53999646753073,-0.0809450753028613,-0.0140625194086707,2.5,6.77982731883391E-6,-0.00734364603253557,1.90895963159666E-6,299.9986572,299.999115,-0.0891649797558785,-0.0891649797558785,56.2749084990636,19.6140534888212,26.3971481,0,0,0,4369,300.30895,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9988861,,,,
,28216131.5,299.9992676,-0.0891649797558785,-0.00734323772458607,7.26571730069307E-7,1,0.999253354069792,40.0298881530762,1.99656849412145,7.53999646753073,-0.0809382291844721,-0.0140696886756455,2.5,6.04313706213022E-6,-0.00734302292886411,1.17270032908551E-6,299.999115,299.9994202,-0.0891649797558785,-0.0891649797558785,56.262402442756,19.613433806918,26.3971481,0,0,0,4369,300.30875,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9992676,,,,
,28216132.515,299.9995575,-0.0891649797558785,-0.00734352930247029,6.52913008775812E-7,1,0.999253354069792,40.0298881530762,1.99664926620742,7.53999646753073,-0.0809484692059284,-0.0140489455515362,2.5,8.02674357613189E-6,-0.00734331573704102,3.15612065355275E-6,299.9994202,299.9996948,-0.0891649797558785,-0.0891649797558785,56.381209977679,19.6122338080121,26.3971481,0,0,0,4369,300.3122,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.9995575,,,,
,28216133.505,299.9994812,-0.0891649797558785,-0.007339604527665,6.92324454727891E-7,1,0.999253354069792,40.0298881530762,1.99663650168947,7.53999646753073,-0.0809047777151737,-0.0140409010473252,2.5,8.06310306804274E-6,-0.00733939112572531,3.19508975131989E-6,299.9992676,299.9996948,-0.0891649797558785,-0.0891649797558785,56.2569310431213,19.6142836025252,26.3971481,0,0,0,4369,300.3126,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.9994812,,,,
,28216134.505,299.9994507,-0.0891649797558785,-0.00733926408654754,5.54252355996998E-7,1,0.999253354069792,40.0298881530762,1.99666773236978,7.53999646753073,-0.0809000668104244,-0.0140530492880125,2.5,6.92092340528333E-6,-0.00733904994300096,2.05313725335619E-6,299.9992676,299.9996338,-0.0891649797558785,-0.0891649797558785,56.3038287542752,19.6144036468202,26.52967355,0,0,0,4369,300.3109,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9994507,,,,
,28216135.525,299.9994507,-0.0891649797558785,-0.00733701564351806,8.00005076893006E-7,1,0.999253354069792,40.0298881530762,1.99666773236978,7.53999646753073,-0.0808777775615968,-0.0140344599327466,2.5,8.21487853884867E-6,-0.00733680242448126,3.34853736136569E-6,299.9992676,299.9996338,-0.0891649797558785,-0.0891649797558785,56.3515080939483,19.6144036468202,26.52967355,0,0,0,4369,300.3105,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.9994507,,,,
,28216136.5,299.9992218,-0.0891649797558785,-0.00733791681667215,7.91806735034596E-7,1,0.999253354069792,40.0298881530762,1.99660883090525,7.53999646753073,-0.080883202280085,-0.0140482107316928,2.5,7.08774077182212E-6,-0.00733770289192761,2.22087587092045E-6,299.999176,299.9992676,-0.0891649797558785,-0.0891649797558785,56.374175321006,19.612554665602,26.3971481,0,0,0,4369,300.3126,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9992218,,,,
,28216137.5,299.99923705,-0.0891649797558785,-0.00733602449884052,3.58688476090222E-7,1,0.999253354069792,40.0298881530762,1.9966357324751,7.53999646753073,-0.0808640298905774,-0.0140412331569756,2.5,7.40713900056468E-6,-0.00733581083797087,2.54151960519914E-6,299.999176,299.9992981,-0.0891649797558785,-0.0891649797558785,56.262402442756,19.6147617584769,26.3971481,0,0,0,4369,300.3126,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99923705,,,,
,28216138.52,299.99938965,-0.0891649797558785,-0.00733521651742809,9.86498977133422E-7,1,0.999253354069792,40.0298881530762,1.99664208585149,7.53999646753073,-0.0808544301415809,-0.0140451407009068,2.5,6.91543528617286E-6,-0.0073350025088281,2.05034047152923E-6,299.9992981,299.9994812,-0.0891649797558785,-0.0891649797558785,56.1951823901021,19.6149982062788,26.3971481,0,0,0,4369,300.31125,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99938965,,,,
,28216139.5,299.99891665,-0.0891649797558785,-0.00733232434737417,8.82562223347878E-7,1,0.999253354069792,40.0298881530762,1.9967204192358,7.53999646753073,-0.0808253671757153,-0.0140418131248737,2.5,6.76117366877209E-6,-0.00733211045613209,1.8979910828464E-6,299.9983521,299.9994812,-0.0891649797558785,-0.0891649797558785,56.3655774072944,19.6112375699668,26.3971481,0,0,0,4369,300.3107,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99891665,,,,
,28216140.5,299.99861145,-0.0891649797558785,-0.00733170867500098,7.56517954496831E-7,1,0.999253354069792,40.0298881530762,1.99671795224436,7.53999646753073,-0.0808192010532485,-0.014036510316579,2.5,7.13322127418092E-6,-0.00733149513719883,2.27045420009405E-6,299.9983521,299.9988708,-0.0891649797558785,-0.0891649797558785,56.3163348105829,19.6158692360989,25.88013935,0,0,0,4369,300.31165,-0.0891649797558785,,,,,,,,,,,,,,,,,55.621811,,,,,,299.99861145,,,,
,28216141.51,299.9988098,-0.0891649797558785,-0.00732904098662588,8.58128336384091E-7,1,0.999253354069792,40.0298881530762,1.99671795224436,7.53999646753073,-0.0807896096226963,-0.0140324577781248,2.5,7.03489149226508E-6,-0.00732882740899374,2.17392250480332E-6,299.9987488,299.9988708,-0.0891649797558785,-0.0891649797558785,56.2022170467752,19.6158692360989,26.0126648,0,0,0,4369,300.313,-0.0891649797558785,,,,,,,,,,,,,,,,,56.002121,,,,,,299.9988098,,,,
