[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3636630659.7765,03/27/2015,3:09 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.15 Build 40, MultiVu Release 2.1.0.6,APPNAME
INFO,0,MOMENT_UNITS
INFO,Er,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,67.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal" (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err.(deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr(emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr(emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err,DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3636632049.353,1.99978685379028,10000.3818359375,0.00319349896284869,3.16479811407768E-7,1,4,13.0063810348511,5.00159953130151,30.7299997657537,3.90147658102831,0.581267962022629,10,-4.57189406631964E-6,,,,,,,,,,,,,,,,,,,,,1.9997147321701,1.99985897541046,10000.3818359375,10000.3818359375,50.0058569605726,5.30468918080276,1.82110190391541,52,1,0,0,1,0.27130126953125,31.7693061828613,1,1,1,1.99985897541046,0,,1.99978685379028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632064.653,1.99989598989487,10500.26953125,0.00337178089591713,2.8317875633904E-7,1,4,13.0063810348511,5.00156461965819,30.7299997657537,4.11924415891621,0.613699540214764,10,-4.83744552222063E-6,,,,,,,,,,,,,,,,,,,,,1.99967277050018,2.00011920928955,10500.26953125,10500.26953125,50.0050753320534,5.30475408702356,1.82450747489929,52,1,0,0,1,0.271224975585938,31.7693061828613,1,1,1,1.99967277050018,0,,1.99989598989487,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632079.957,1.99985748529434,11000.24609375,0.00354788748900858,4.14666358670395E-7,1,4,13.0063810348511,5.00151945833304,30.7299997657537,4.33424190743287,0.646368268696721,10,-4.5795211174268E-6,,,,,,,,,,,,,,,,,,,,,1.99953186511993,2.00018310546875,11000.24609375,11000.24609375,49.8370252004187,5.30503150666951,1.82164192199707,52,1,0,0,1,0.269699096679687,31.7693061828613,1,1,1,2.00018310546875,0,,1.99985748529434,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632095.242,2.00015759468079,11500.296875,0.0037212629754837,3.2193293385099E-7,1,4,13.0063810348511,5.00139991288931,30.7299997657537,4.54592104025649,0.677742376167718,10,-4.95845253448225E-6,,,,,,,,,,,,,,,,,,,,,2.00000524520874,2.00030994415283,11500.296875,11500.296875,49.8038059883514,5.30511238409903,1.8249284029007,52,1,0,0,1,0.27618408203125,31.7693061828613,1,1,1,2.00030994415283,0,,2.00015759468079,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632110.611,2.00001978874207,12000.171875,0.00389348295091962,3.78444869082155E-7,1,4,13.0063810348511,5.00140807863533,30.7299997657537,4.75635195709344,0.708877719070639,10,-5.37802710885281E-6,,,,,,,,,,,,,,,,,,,,,1.99986100196838,2.00017857551575,12000.171875,12000.171875,49.8983830391784,5.30470184001933,1.82457172870636,52,1,0,0,1,0.270004272460938,31.7693061828613,1,1,1,1.99986100196838,0,,2.00001978874207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632125.986,2.00011193752289,12500.1611328125,0.00406402237402995,4.21297808606091E-7,1,4,13.0063810348511,5.00120473486908,30.7299997657537,4.96426625766133,0.740801334645329,10,-4.86363127663293E-6,,,,,,,,,,,,,,,,,,,,,2.00009822845459,2.00012564659119,12500.1611328125,12500.1611328125,50.0296966304091,5.30543351483895,1.82673633098602,52,1,0,0,1,0.27557373046875,31.7693061828613,1,1,1,2.00004816055298,0,,2.00011193752289,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632141.367,2.00066542625427,13000.26171875,0.00423355686756849,4.18267237059085E-7,1,4,13.0063810348511,5.00115779578458,30.7299997657537,5.17130257628255,0.771593837510439,10,-5.14889171969425E-6,,,,,,,,,,,,,,,,,,,,,2.0006148815155,2.00071597099304,13000.26171875,13000.26171875,49.9710744914668,5.30637773491476,1.82064914703369,52,1,0,0,1,0.27374267578125,31.7693061828613,1,1,1,2.00071597099304,0,,2.00066542625427,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632156.913,1.99992394447327,13500.513671875,0.00440124981192668,4.06021269007692E-7,1,4,13.0063810348511,5.00106896456004,30.7299997657537,5.37611806633403,0.801396026406489,10,-5.95964031016139E-6,,,,,,,,,,,,,,,,,,,,,1.99959635734558,2.00025153160095,13500.513671875,13500.513671875,50.1387338088418,5.30652575293702,1.8224618434906,52,1,0,0,1,0.278167724609375,31.7693061828613,1,1,1,2.00025153160095,0,,1.99992394447327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632173.096,1.9999218583107,14000.275390625,0.0045682970352092,4.72965320073286E-7,1,4,13.0063810348511,5.00095501913256,30.7299997657537,5.57993646188087,0.832130368766416,10,-5.90394807218259E-6,,,,,,,,,,,,,,,,,,,,,1.99952948093414,2.00031423568726,14000.275390625,14000.275390625,50.2251037602168,5.3074154783274,1.82076072692871,52,1,0,0,1,0.278701782226562,31.7693061828613,1,1,1,2.00031423568726,0,,1.9999218583107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632189.282,2.00035059452057,14500.5029296875,0.00473373680369229,3.67690778858097E-7,1,4,13.0063810348511,5.00090294946431,30.7299997657537,5.78184086211429,0.862834906241311,10,-5.64143331251146E-6,,,,,,,,,,,,,,,,,,,,,2.00018787384033,2.00051331520081,14500.5029296875,14500.5029296875,50.0871463265726,5.30695892165345,1.8290650844574,52,1,0,0,1,0.268936157226562,31.7693061828613,1,1,1,2.00018787384033,0,,2.00035059452057,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632205.353,2.00006878376007,15000.4658203125,0.00489826860411617,4.95910389643273E-7,1,4,13.0063810348511,5.00078805228206,30.7299997657537,5.9827158868401,0.892090993616571,10,-6.41486840354993E-6,,,,,,,,,,,,,,,,,,,,,2.00004625320435,2.0000913143158,15000.4658203125,15000.4658203125,50.1141125104861,5.30784935724416,1.82450544834137,52,1,0,0,1,0.27374267578125,31.7693061828613,1,1,1,2.00004625320435,0,,2.00006878376007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632220.718,1.99999040365219,15500.353515625,0.00506162924015407,4.43936741902701E-7,1,4,13.0063810348511,5.00077179728003,30.7299997657537,6.18204686012683,0.922959587262036,10,-5.71087620885046E-6,,,,,,,,,,,,,,,,,,,,,1.99995410442352,2.00002670288086,15500.353515625,15500.353515625,50.1766427920245,5.30802989330644,1.81987833976746,52,1,0,0,1,0.274505615234375,31.7693061828613,1,1,1,2.00002670288086,0,,1.99999040365219,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632236.091,1.99995070695877,16000.267578125,0.00522444623768314,3.8562807996954E-7,1,4,13.0063810348511,5.0006182082578,30.7299997657537,6.38056738338443,0.953026038211866,10,-5.55178905248848E-6,,,,,,,,,,,,,,,,,,,,,1.99990713596344,1.9999942779541,16000.267578125,16000.267578125,49.9577868066399,5.30757404661358,1.82254362106323,52,1,0,0,1,0.270843505859375,32.2580642700195,1,1,1,1.99990713596344,0,,1.99995070695877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636632251.499,1.9997131228447,16500.419921875,0.00538708263332502,4.16835466599144E-7,1,4,13.0063810348511,5.00064947949768,30.7299997657537,6.57907631288543,0.983864584571535,10,-4.77271632040805E-6,,,,,,,,,,,,,,,,,,,,,1.99943327903748,1.99999296665192,16500.419921875,16500.419921875,50.1481133510726,5.30853664606368,1.81977760791779,52,1,0,0,1,0.270843505859375,31.7693061828613,1,1,1,1.99943327903748,0,,1.9997131228447,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
