# Datafile created by QuickNXS 0.9.39
# Date: 2014-03-13 11:01:11
# Type: Specular
# Input file indices: 15872+15873+15874+15875+15876
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos  y_width  bg_pos  bg_width  dpix  tth  number  File                                            
# 1      0   0   157.7   9        128    82       54      92        158   0    15870   /SNS/REF_M/IPTS-10356/data/REF_M_15870_histo.nxs
# 2      0   0   157.7   9        128    82       54      92        158   0    15871   /SNS/REF_M/IPTS-10356/data/REF_M_15871_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos  y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 4.20727   86    28   167.3   9        133    70       54      92        False        158   0.702693   15872   1      /SNS/REF_M/IPTS-10356/data/REF_M_15872_histo.nxs
# 4.1783    114   6    168.2   9        133    70       54      92        False        158   0.702693   15873   2      /SNS/REF_M/IPTS-10356/data/REF_M_15873_histo.nxs
# 4.51856   114   3    169.5   9        133    70       54      92        False        158   1.22983    15874   2      /SNS/REF_M/IPTS-10356/data/REF_M_15874_histo.nxs
# 2.36048   116   4    171.9   9        133    70       54      92        False        158   2.28737    15875   2      /SNS/REF_M/IPTS-10356/data/REF_M_15875_histo.nxs
# 1.26474   116   3    172.1   9        133    70       54      92        False        158   4.39219    15876   2      /SNS/REF_M/IPTS-10356/data/REF_M_15876_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  20   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
2.641055e-02      	7.567298e-02      	5.057723e-04      	7.537461e-04      	9.154172e-03      
2.686987e-02      	8.722714e-02      	5.348058e-04      	7.672568e-04      	9.154172e-03      
2.734544e-02      	9.457387e-02      	5.554918e-04      	7.812675e-04      	9.154172e-03      
2.783815e-02      	9.758381e-02      	5.678236e-04      	7.958065e-04      	9.154172e-03      
2.834894e-02      	9.796463e-02      	5.996787e-04      	8.109055e-04      	9.154172e-03      
2.887883e-02      	9.465414e-02      	5.784109e-04      	8.265966e-04      	9.154172e-03      
2.942890e-02      	8.642393e-02      	5.348204e-04      	8.429168e-04      	9.154172e-03      
3.000034e-02      	7.715299e-02      	4.886895e-04      	8.599047e-04      	9.154172e-03      
3.059440e-02      	6.393391e-02      	4.351430e-04      	8.776030e-04      	9.154172e-03      
3.121247e-02      	5.043346e-02      	3.821302e-04      	8.960576e-04      	9.154172e-03      
3.185603e-02      	3.750564e-02      	3.270125e-04      	9.153187e-04      	9.154172e-03      
3.252668e-02      	2.611794e-02      	2.689720e-04      	9.354415e-04      	9.154172e-03      
3.322618e-02      	1.765263e-02      	2.197430e-04      	9.564855e-04      	9.154172e-03      
3.395642e-02      	1.240760e-02      	1.822620e-04      	9.785168e-04      	9.154172e-03      
3.471949e-02      	1.158565e-02      	1.735068e-04      	1.001607e-03      	9.154172e-03      
3.551764e-02      	1.387795e-02      	1.876029e-04      	1.025837e-03      	9.154172e-03      
3.635335e-02      	1.852760e-02      	2.148890e-04      	1.051293e-03      	9.154172e-03      
3.722933e-02      	2.294901e-02      	2.424668e-04      	1.078073e-03      	9.154172e-03      
3.814857e-02      	2.649388e-02      	2.625308e-04      	1.106284e-03      	9.154172e-03      
3.911436e-02      	2.757839e-02      	2.631323e-04      	1.136046e-03      	9.154172e-03      
4.013032e-02      	2.639338e-02      	2.639024e-04      	1.167495e-03      	9.154172e-03      
4.120046e-02      	2.311838e-02      	2.483205e-04      	1.200777e-03      	9.154172e-03      
4.232924e-02      	1.696221e-02      	2.102781e-04      	1.236064e-03      	9.154172e-03      
4.352161e-02      	1.154329e-02      	1.721857e-04      	1.273542e-03      	9.154172e-03      
4.478311e-02      	7.340231e-03      	1.442610e-04      	1.313429e-03      	9.154172e-03      
4.611992e-02      	4.423102e-03      	1.167685e-04      	1.355967e-03      	9.154172e-03      
4.753899e-02      	4.052518e-03      	1.176492e-04      	1.401435e-03      	9.154172e-03      
4.904817e-02      	5.260188e-03      	1.418235e-04      	1.450153e-03      	9.154172e-03      
5.065630e-02      	6.474704e-03      	1.692092e-04      	1.502486e-03      	9.154172e-03      
5.120875e-02      	6.346936e-03      	6.054961e-05      	1.478845e-03      	1.805363e-02      
5.208412e-02      	6.823171e-03      	6.178887e-05      	1.504857e-03      	1.805363e-02      
5.237347e-02      	7.182282e-03      	2.092223e-04      	1.558861e-03      	9.154172e-03      
